15:42:51 [WARN] Thread 3: Fetch fails: crate 4573 winit, Download error.
15:42:53 [WARN] Thread 10: Fetch fails: crate 4573 winit, Download error.
15:43:38 [WARN] Thread 0: Fetch fails: crate 4672 tera, Download error.
15:43:39 [WARN] Thread 4: Fetch fails: crate 4672 tera, Download error.
15:45:57 [WARN] Thread 11: Fetch fails: crate 4833 pest, Download error.
15:45:58 [WARN] Thread 8: Fetch fails: crate 4833 pest, Download error.
15:46:22 [WARN] Thread 11: Fetch fails: crate 4853 reql, Download error.
15:46:23 [WARN] Thread 9: Fetch fails: crate 4853 reql, Download error.
15:46:34 [WARN] Thread 10: Fetch fails: crate 4902 luminance-gl, Download error.
15:46:34 [WARN] Thread 8: Fetch fails: crate 4902 luminance-gl, Download error.
15:46:37 [WARN] Thread 2: Fetch fails: crate 4898 elastic_types, Download error.
15:46:38 [WARN] Thread 1: Fetch fails: crate 4898 elastic_types, Download error.
15:46:59 [WARN] Thread 3: Fetch fails: crate 4901 luminance, Download error.
15:47:00 [WARN] Thread 5: Fetch fails: crate 4901 luminance, Download error.
15:49:43 [WARN] Thread 5: Fetch fails: crate 5085 piston-dyon_interactive, Download error.
15:49:43 [WARN] Thread 6: Fetch fails: crate 5085 piston-dyon_interactive, Download error.
15:49:53 [WARN] Thread 3: Fetch fails: crate 5092 caper, Download error.
15:49:53 [WARN] Thread 9: Fetch fails: crate 5092 caper, Download error.
15:50:01 [WARN] Thread 1: Fetch fails: crate 5120 sentry, Download error.
15:50:01 [WARN] Thread 6: Fetch fails: crate 5120 sentry, Download error.
15:50:11 [WARN] Thread 7: Fetch fails: crate 5149 chess, Download error.
15:50:12 [WARN] Thread 9: Fetch fails: crate 5149 chess, Download error.
15:50:15 [WARN] Thread 11: Fetch fails: crate 5154 openblas-src, Download error.
15:50:22 [WARN] Thread 3: Fetch fails: crate 5154 openblas-src, Download error.
15:53:53 [WARN] Thread 6: Fetch fails: crate 5363 json, Download error.
15:53:54 [WARN] Thread 7: Fetch fails: crate 5363 json, Download error.
15:54:02 [WARN] Thread 4: Fetch fails: crate 5213 clippy_lints, Download error.
15:54:03 [WARN] Thread 8: Fetch fails: crate 5213 clippy_lints, Download error.
15:54:03 [WARN] Thread 9: Fetch fails: crate 5375 libffi-sys, Download error.
15:54:03 [WARN] Thread 7: Fetch fails: crate 5375 libffi-sys, Download error.
15:54:04 [WARN] Thread 5: Fetch fails: crate 5364 slog, Download error.
15:54:06 [WARN] Thread 10: Fetch fails: crate 5364 slog, Download error.
15:58:11 [WARN] Thread 1: Fetch fails: crate 5563 tokio, Download error.
15:58:12 [WARN] Thread 5: Fetch fails: crate 5563 tokio, Download error.
15:58:13 [WARN] Thread 8: Fetch fails: crate 5550 rust-s3, Download error.
